name;team;Division;Annual Salary;Net worth;position
Bill Belichick;New England Patriots;AFC – East;$12 million;$35 million;head coach
Pete Carroll;Seattle Seahawks;NFC – West;$11 million;$22 million;head coach
Jon Gruden;Las Vegas Raiders;AFC- West;$10 million;$30 million;head coach
Sean Payton;New Orleans Saints;NFC – South;$9.8 million;$22 million;head coach
John Harbaugh;Baltimore Ravens;AFC – North;$9 million;$16 million;head coach
Matt Rhule;Carolina Panthers;NFC – South;$8.5 million;$5 million;head coach
Sean McVay;Los Angeles Rams;NFC – West;$8.5 million;$7 million;head coach
Mike Tomlin;Pittsburgh Steelers;AFC – North;$8 million;$20 million;head coach
Dan Quinn;Atlanta Falcons;NFC – South;$8 million;$3 million;head coach
Andy Reid;Kansas City Chiefs;AFC – West;$8 million;$25 million;head coach
Bruce Arians;Tampa Bay Buccaneers;NFC – South;$8 million;$10 million;head coach
Ron Rivera;Washington Redskins;NFC – East;$7 million;$10 million;head coach
Kliff Kingsbury;Arizona Cardinals;NFC – West;$5.5 million;$5 million;head coach
Bill O’Brien;Houston Texans;AFC – South;$5 million;$7 million;head coach
Joe Judge;New York Giants;AFC – East;$5 million;$20 million;head coach
Matt LaFleur;Green Bay Packers;NFC- North;$5 million;$7 million;head coach
Vic Fangio;Denver Broncos;AFC – West;$5 million;$4 million;head coach
Frank Reich;Indianapolis Colts;AFC – South;$4.5 million;$10 million;head coach
Doug Pederson;Philadelphia Eagles;NFC – East;$4 million;15 million;head coach
Mike McCarthy;Dallas Cowboys;NFC – East;$4 million;$9 million;head coach
Dan Quinn;Atlanta Falcons;NFC – South;$4.5 million;$3 million;head coach
Zac Taylor;Cincinnati Bengals;AFC – North;$4.5 million;$15 million;head coach
Matt Nagy;Chicago Bears;NFC – North;$100,000;$5 million;head coach
Mike Zimmer;Minnesota Vikings;NFC – North;$4, million;$6 million;head coach
Adam Gase;New York Jets;AFC – East;$5 million;$5 million;head coach
Mike Vrabel;Tennessee Titans;AFC – South;$3,025,000;$ 10 million;head coach
Anthony Lynn;Los Angeles Chargers;AFC – West;$4 million;$5 million;head coach
Matt Patricia;Detroit Lions;NFC – North;$4 million;$3 million;head coach
Doug Marrone;Jacksonville Jaguars;AFC – South;$3.3 million;$8 million;head coach
Kevin Stefanski;Cleveland Browns;AFC – North;$3,500,000;$2 million;head coach
Brian Flores;Miami Dolphins;AFC – East;$500000;;head coach
Kyle Shanahan;San Francisco 49ers;NFC – West;$3 million;$4 millio;head coach